          client-3775  [000]  3996.670184: function:             _raw_spin_unlock <-- hrtimer_interrupt
          client-3775  [000]  3996.670184: function:             tick_program_event <-- hrtimer_interrupt
          client-3775  [000]  3996.670185: function:             tick_dev_program_event <-- tick_program_event
          client-3775  [000]  3996.670185: function:             ktime_get <-- tick_dev_program_event
          client-3775  [000]  3996.670185: function:             read_hpet <-- ktime_get
          client-3775  [000]  3996.670186: function:             clockevents_program_event <-- tick_dev_program_event
          client-3775  [000]  3996.670187: function:             lapic_next_event <-- clockevents_program_event
          client-3775  [000]  3996.670187: function:             native_apic_mem_write <-- lapic_next_event
          client-3775  [000]  3996.670187: function:             irq_exit <-- smp_apic_timer_interrupt
          client-3775  [000]  3996.670188: function:             do_softirq <-- irq_exit
          client-3775  [000]  3996.670188: function:             __do_softirq <-- do_softirq
          client-3775  [000]  3996.670188: function:             __local_bh_disable <-- __do_softirq
          client-3775  [000]  3996.670188: function:             run_timer_softirq <-- __do_softirq
          client-3775  [000]  3996.670189: function:             hrtimer_run_pending <-- run_timer_softirq
          client-3775  [000]  3996.670189: function:             _raw_spin_lock_irq <-- run_timer_softirq
          client-3775  [000]  3996.670189: function:             _raw_spin_unlock_irq <-- run_timer_softirq
          client-3775  [000]  3996.670190: function:             rcu_bh_qs <-- __do_softirq
          client-3775  [000]  3996.670190: function:             rcu_process_callbacks <-- __do_softirq
          client-3775  [000]  3996.670190: function:             __rcu_process_callbacks <-- rcu_process_callbacks
          client-3775  [000]  3996.670191: function:             force_quiescent_state <-- __rcu_process_callbacks
          client-3775  [000]  3996.670191: function:             rcu_process_gp_end <-- __rcu_process_callbacks
          client-3775  [000]  3996.670191: function:             check_for_new_grace_period <-- __rcu_process_callbacks
          client-3775  [000]  3996.670192: function:             __rcu_process_callbacks <-- rcu_process_callbacks
          client-3775  [000]  3996.670192: function:             force_quiescent_state <-- __rcu_process_callbacks
          client-3775  [000]  3996.670192: function:             rcu_process_gp_end <-- __rcu_process_callbacks
          client-3775  [000]  3996.670192: function:             check_for_new_grace_period <-- __rcu_process_callbacks
          client-3775  [000]  3996.670193: function:             __rcu_process_callbacks <-- rcu_process_callbacks
          client-3775  [000]  3996.670193: function:             rcu_process_gp_end <-- __rcu_process_callbacks
          client-3775  [000]  3996.670193: function:             check_for_new_grace_period <-- __rcu_process_callbacks
          client-3775  [000]  3996.670194: function:             _raw_spin_lock_irqsave <-- __rcu_process_callbacks
          client-3775  [000]  3996.670194: function:             rcu_report_qs_rnp <-- __rcu_process_callbacks
          client-3775  [000]  3996.670194: function:             rcu_report_qs_rsp <-- rcu_report_qs_rnp
          client-3775  [000]  3996.670195: function:             rcu_start_gp <-- rcu_report_qs_rsp
          client-3775  [000]  3996.670195: function:             _raw_spin_unlock_irqrestore <-- rcu_start_gp
          client-3775  [000]  3996.670196: function:             rcu_free_va <-- __rcu_process_callbacks
